"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","ADP","playerid"
"Blake Treinen","Dodgers","3","3","3.82","0","65","9","65.0","60","28","7","66","26","1.31","9.08","3.57","3.98","0.4","0.5","443.9","12572"
"Bruce Zimmermann","Orioles","4","7","5.27","16","20","0","95.0","101","56","18","75","43","1.51","7.11","4.08","5.58","0.4","0.5","999.0","20370"
"Felix Pena","Angels","3","3","4.13","0","60","1","60.0","56","28","9","64","21","1.28","9.67","3.09","4.17","0.4","0.4","600.8","13403"
"Anthony Misiewicz","Mariners","3","3","3.96","0","60","2","60.0","56","26","9","59","20","1.26","8.89","2.98","4.28","0.4","0.5","999.0","18152"
"Chris Martin","Braves","3","3","3.97","0","62","18","62.0","60","27","9","62","16","1.23","9.05","2.32","3.93","0.4","0.6","347.9","11847"
"Braxton Garrett","Marlins","3","4","4.60","11","11","0","64.0","65","33","9","53","30","1.49","7.55","4.22","4.80","0.4","0.5","999.0","21844"
"Amir Garrett","Reds","3","3","4.24","0","63","16","63.0","55","30","10","75","30","1.36","10.74","4.34","4.39","0.4","0.4","294.4","14375"
"Mychal Givens","Rockies","3","3","4.56","0","65","2","65.0","60","33","11","71","28","1.34","9.89","3.84","4.60","0.4","0.6","573.6","10430"
"Tyler Matzek","Braves","3","3","3.78","0","56","1","56.0","48","24","7","67","25","1.30","10.85","3.97","3.88","0.4","0.6","589.7","10058"
"Justin Wilson","","3","3","4.21","0","58","0","58.0","51","27","8","65","29","1.38","10.16","4.50","4.44","0.4","0.4","601.0","4301"
"Brad Hand","Nationals","3","3","4.10","0","65","21","65.0","57","30","10","75","24","1.26","10.39","3.39","4.24","0.4","0.5","118.9","9111"
"Lucas Sims","Reds","3","3","4.31","0","63","8","63.0","54","30","10","77","28","1.30","11.03","3.97","4.41","0.4","0.4","369.3","13470"
"Will Harris","Nationals","3","3","4.19","0","58","1","58.0","57","27","8","56","21","1.34","8.62","3.21","4.23","0.4","0.4","600.3","3192"
"Andrew Chafin","Cubs","3","3","3.93","0","62","1","62.0","56","27","8","65","28","1.35","9.49","4.06","4.16","0.4","0.6","999.0","12988"
"Trevor Williams","Cubs","6","8","5.28","21","21","0","117.0","128","69","22","90","41","1.45","6.94","3.15","5.26","0.4","0.5","579.0","16977"
