"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","ADP","playerid"
"Jonathan Heasley","","0","0","6.11","0","0","0","1.0","1","1","0","1","1","1.72","5.36","4.99","6.13","0.0","0.0","999.0","sa3007211"
"Nick Allgeyer","Blue Jays","0","0","5.97","0","0","0","1.0","1","1","0","1","0","1.63","5.82","4.28","6.13","0.0","0.0","999.0","sa3006698"
"Angel Acevedo","","0","0","6.01","0","0","0","1.0","1","1","0","1","1","1.70","5.62","5.00","6.13","0.0","0.0","999.0","sa917893"
"Osvaldo Hernandez","","0","0","5.95","0","0","0","1.0","1","1","0","1","1","1.67","5.64","4.70","6.13","0.0","0.0","999.0","sa975541"
"Ty Culbreth","Rockies","0","0","6.11","0","0","0","1.0","1","1","0","1","0","1.57","5.64","3.41","6.13","0.0","0.0","999.0","sa918095"
"Trevor Clifton","","0","0","6.01","0","0","0","1.0","1","1","0","1","0","1.58","6.79","4.35","6.14","0.0","0.0","999.0","sa737901"
"Noe Toribio","","0","0","6.11","0","0","0","1.0","1","1","0","1","1","1.77","5.36","5.50","6.14","0.0","0.0","999.0","sa3003041"
"Manuel Barreda","","0","0","6.05","0","0","0","1.0","1","1","0","1","1","1.66","5.60","4.51","6.14","0.0","0.0","999.0","sa390658"
"Alex Sanabia","","0","0","6.04","0","0","0","1.0","1","1","0","1","0","1.62","5.34","3.99","6.14","0.0","0.0","999.0","5350"
"Matthew Dennis","Rockies","0","0","6.18","0","0","0","1.0","1","1","0","1","0","1.60","5.70","3.67","6.14","0.0","0.0","999.0","sa918295"
"Rafael Pineda","","0","0","6.08","0","0","0","1.0","1","1","0","1","0","1.66","5.50","4.37","6.14","0.0","0.0","999.0","sa658959"
"Andrew Harrington","","0","0","5.95","0","0","0","1.0","1","1","0","1","1","1.70","4.98","4.64","6.14","0.0","0.0","999.0","sa857676"
"Johnathan Richy","Mariners","0","0","5.91","0","0","0","1.0","1","1","0","1","1","1.69","5.99","5.14","6.14","0.0","0.0","999.0","sa828800"
"Gerardo Carrillo","Dodgers","0","0","5.90","0","0","0","1.0","1","1","0","1","1","1.71","5.82","5.36","6.14","0.0","0.0","999.0","sa3002790"
"Damon Casetta-Stubbs","","0","0","5.89","0","0","0","1.0","1","1","0","1","1","1.69","5.44","5.00","6.15","0.0","0.0","999.0","sa3008387"
"Dilmer Mejia","","0","0","5.96","0","0","0","1.0","1","1","0","1","0","1.65","5.50","4.46","6.15","0.0","0.0","999.0","sa828518"
"Arnaldo Hernandez","","0","0","6.01","0","0","0","1.0","1","1","0","1","0","1.56","5.93","3.79","6.15","0.0","0.0","999.0","sa828154"
"Luis Nova","","0","0","6.15","0","0","0","1.0","1","1","0","1","1","1.71","5.63","4.98","6.15","0.0","0.0","999.0","sa3005462"
"Jaime Lugo","","0","0","6.07","0","0","0","1.0","1","1","0","1","0","1.65","5.48","4.36","6.15","0.0","0.0","999.0","sa657149"
"Daniel Minor","","0","0","6.16","0","0","0","1.0","1","1","0","1","0","1.63","5.21","3.81","6.15","0.0","0.0","999.0","sa658128"
"Nicholas Wells","","0","0","5.88","0","0","0","1.0","1","1","0","1","1","1.74","6.13","5.57","6.16","0.0","0.0","999.0","sa828791"
"Juan Lopez","","0","0","5.85","0","0","0","1.0","1","1","0","1","1","1.77","5.50","5.66","6.16","0.0","0.0","999.0","sa3004647"
"Francisco Rosario","","0","0","6.02","0","0","0","1.0","1","1","0","1","1","1.65","6.41","4.82","6.16","0.0","0.0","999.0","2091"
"Richard Guasch","","0","0","6.07","0","0","0","1.0","1","1","0","1","1","1.77","6.46","6.11","6.17","0.0","0.0","999.0","sa3008434"
"Matthew Smith","","0","0","6.07","0","0","0","1.0","1","1","0","1","0","1.64","5.31","4.18","6.17","0.0","0.0","999.0","sa918774"
"Travis Herrin","Angels","0","0","6.12","0","0","0","1.0","1","1","0","1","1","1.71","6.25","5.07","6.17","0.0","0.0","999.0","sa875780"
"Patrick Johnson","","0","0","6.04","0","0","0","1.0","1","1","0","1","0","1.66","5.25","4.41","6.17","0.0","0.0","999.0","sa526880"
"Chris Mathewson","","0","0","6.11","0","0","0","1.0","1","1","0","1","1","1.69","6.03","4.87","6.17","0.0","0.0","999.0","sa829581"
"Matthew Liberatore","","0","0","5.84","0","0","0","1.0","1","1","0","1","1","1.76","5.72","5.87","6.17","0.0","0.0","999.0","sa3008163"
"Domenic Mazza","","0","0","5.99","0","0","0","1.0","1","1","0","1","1","1.68","5.69","4.81","6.17","0.0","0.0","999.0","sa875342"
"Ronny Henriquez","","0","0","6.12","0","0","0","1.0","1","1","0","1","1","1.68","6.36","4.97","6.17","0.0","0.0","999.0","sa3005835"
"Marlon Arias","","0","0","5.97","0","0","0","1.0","1","1","0","1","1","1.72","5.98","5.35","6.17","0.0","0.0","999.0","sa294505"
"Travis Wood","","0","0","6.03","0","0","0","1.0","1","1","0","1","0","1.59","6.01","3.98","6.17","0.0","0.0","999.0","9884"
"Orlandy Navarro","","0","0","6.09","0","0","0","1.0","1","1","0","1","1","1.70","6.21","5.11","6.18","0.0","0.0","999.0","sa917830"
"Luis Astorga","","0","0","6.03","0","0","0","1.0","1","1","0","1","1","1.69","5.48","4.75","6.18","0.0","0.0","999.0","sa508712"
"Andrew Sikula","","0","0","6.18","0","0","0","1.0","1","1","0","1","0","1.64","5.18","3.89","6.18","0.0","0.0","999.0","sa579472"
"Jake Dahlberg","","0","0","6.01","0","0","0","1.0","1","1","0","1","1","1.71","4.96","4.77","6.18","0.0","0.0","999.0","sa3004475"
"Braden Webb","","0","0","5.93","0","0","0","1.0","1","1","0","1","1","1.67","7.28","5.60","6.18","0.0","0.0","999.0","sa876362"
"Travis MacGregor","","0","0","6.18","0","0","0","1.0","1","1","0","1","1","1.74","5.91","5.36","6.18","0.0","0.0","999.0","sa917950"
"Jonathan Castellanos","","0","0","6.09","0","0","0","1.0","1","1","0","0","0","1.69","4.32","4.22","6.19","0.0","0.0","999.0","sa200086"
"Oliver Jaskie","","0","0","5.77","0","0","0","1.0","1","1","0","1","1","1.70","7.23","6.07","6.19","0.0","0.0","999.0","sa915858"
"Aldo Montes","","0","0","6.07","0","0","0","1.0","1","1","0","1","1","1.70","5.44","4.91","6.19","0.0","0.0","999.0","sa547921"
"Juan Oramas","","0","0","5.95","0","0","0","1.0","1","1","0","1","1","1.65","6.07","4.77","6.19","0.0","0.0","999.0","sa508100"
"Parker French","","0","0","6.12","0","0","0","1.0","1","1","0","1","1","1.68","6.07","4.90","6.19","0.0","0.0","999.0","sa829473"
"Colten Schmidt","","0","0","6.16","0","0","0","1.0","1","1","0","1","0","1.65","5.43","4.10","6.19","0.0","0.0","999.0","sa3006765"
"Christian Taugner","","0","0","6.13","0","0","0","1.0","1","1","0","1","0","1.66","4.67","3.99","6.19","0.0","0.0","999.0","sa915601"
"Kenneth Sigman","","0","0","6.12","0","0","0","1.0","1","1","0","1","0","1.68","5.08","4.42","6.19","0.0","0.0","999.0","sa550328"
"Evan Guillory","","0","0","6.07","0","0","0","1.0","1","1","0","1","0","1.68","4.86","4.43","6.20","0.0","0.0","999.0","sa3003994"
"Valente Bellozo","","0","0","6.04","0","0","0","1.0","1","1","0","1","1","1.69","6.16","5.17","6.20","0.0","0.0","999.0","sa3006119"
"Garrett Hill","","0","0","6.25","0","0","0","1.0","1","1","0","1","1","1.69","6.29","4.84","6.20","0.0","0.0","999.0","sa3007259"
"Evan Manarino","","0","0","6.03","0","0","0","1.0","1","1","0","1","1","1.68","5.38","4.57","6.20","0.0","0.0","999.0","sa875823"
"Hunter Haworth","","0","0","6.15","0","0","0","1.0","1","1","0","1","1","1.73","6.32","5.50","6.20","0.0","0.0","999.0","sa3005318"
"Tyler Watson","","0","0","5.93","0","0","0","1.0","1","1","0","1","1","1.68","5.63","5.00","6.20","0.0","0.0","999.0","sa876164"
"Juan Delgado","","0","0","6.00","0","0","0","1.0","1","1","0","1","1","1.71","5.11","4.89","6.21","0.0","0.0","999.0","sa508063"
"Juan Pena","","0","0","6.00","0","0","0","1.0","1","1","0","1","1","1.73","5.35","5.13","6.21","0.0","0.0","999.0","sa208507"
"Adrian Del Moral","","0","0","6.25","0","0","0","1.0","1","1","0","1","1","1.74","5.31","5.03","6.22","0.0","0.0","999.0","sa3006816"
"Yohanse Morel","","0","0","6.19","0","0","0","1.0","1","1","0","1","1","1.77","5.43","5.60","6.22","0.0","0.0","999.0","sa3005685"
"Mitchell Lambson","","0","0","6.01","0","0","0","1.0","1","1","0","1","0","1.66","5.12","4.40","6.22","0.0","0.0","999.0","sa577012"
"John Perkins","","0","0","6.11","0","0","0","1.0","1","1","0","1","1","1.66","6.33","4.77","6.22","0.0","0.0","999.0","sa3007713"
"Luis Niebla","","0","0","6.16","0","0","0","1.0","1","1","0","1","1","1.70","5.49","4.79","6.22","0.0","0.0","999.0","sa542987"
"Carson Teel","Nationals","0","0","6.00","0","0","0","1.0","1","1","0","1","1","1.66","6.09","4.77","6.22","0.0","0.0","999.0","sa3007597"
"Jonathan France","","0","0","6.08","0","0","0","1.0","1","1","0","1","1","1.70","6.50","5.31","6.22","0.0","0.0","999.0","sa3008310"
"Gabriel Llanes","","0","0","6.19","0","0","0","1.0","1","1","0","1","0","1.69","4.64","4.21","6.22","0.0","0.0","999.0","sa829197"
"Osvaldo Bido","","0","0","6.15","0","0","0","1.0","1","1","0","1","0","1.68","5.08","4.49","6.22","0.0","0.0","999.0","sa3003138"
"Marco Estrada","","0","0","6.07","0","0","0","1.0","1","1","0","1","0","1.52","6.52","3.56","6.22","0.0","0.0","999.0","1118"
"Juan Mota","","0","0","6.15","0","0","0","1.0","1","1","0","1","1","1.69","5.89","4.88","6.22","0.0","0.0","999.0","sa917387"
"John Sears","","0","0","5.98","0","0","0","1.0","1","1","0","1","1","1.66","6.18","4.78","6.22","0.0","0.0","999.0","sa3004100"
"Nicholas Bennett","","0","0","5.95","0","0","0","1.0","1","1","0","1","1","1.73","6.15","5.60","6.22","0.0","0.0","999.0","sa3011410"
"Konnor Pilkington","White Sox","0","0","5.98","0","0","0","1.0","1","1","0","1","1","1.67","6.70","5.07","6.23","0.0","0.0","999.0","sa3008371"
"Elio Serrano","","0","0","6.08","0","0","0","1.0","1","1","0","1","0","1.64","5.83","4.50","6.23","0.0","0.0","999.0","sa917324"
"Samuel Long","","0","0","5.94","0","0","0","1.0","1","1","0","1","1","1.68","6.40","5.15","6.23","0.0","0.0","999.0","sa918455"
"Javier Solano","","0","0","6.14","0","0","0","1.0","1","1","0","1","0","1.59","4.91","3.47","6.24","0.0","0.0","999.0","sa455650"
"Travis Banwart","","0","0","6.19","0","0","0","1.0","1","1","0","1","0","1.64","5.29","4.08","6.24","0.0","0.0","999.0","sa389775"
"Cody Sedlock","","0","0","5.99","0","0","0","1.0","1","1","0","1","1","1.63","6.77","4.89","6.24","0.0","0.0","999.0","sa874042"
"Chris Smith","","0","0","6.24","0","0","0","1.0","1","1","0","1","0","1.60","5.49","3.54","6.24","0.0","0.0","999.0","4544"
"Ryan Perez","","0","0","6.02","0","0","0","1.0","1","1","0","1","1","1.74","5.16","5.20","6.24","0.0","0.0","999.0","sa857684"
"Andrew Brown","","0","0","6.10","0","0","0","1.0","1","1","0","1","1","1.70","5.18","4.66","6.24","0.0","0.0","999.0","sa918255"
"Fitzpatrick Stadler","","0","0","6.13","0","0","0","1.0","1","1","0","1","1","1.76","5.39","5.42","6.25","0.0","0.0","999.0","sa876081"
"Davis Martin","White Sox","0","0","6.14","0","0","0","1.0","1","1","0","1","0","1.66","5.93","4.45","6.25","0.0","0.0","999.0","sa3008311"
"Zach Lewis","","0","0","6.07","0","0","0","1.0","1","1","0","1","1","1.71","5.93","5.12","6.25","0.0","0.0","999.0","sa829666"
"James Greene","Orioles","0","0","6.01","0","0","0","1.0","1","1","0","1","1","1.70","6.31","5.35","6.25","0.0","0.0","999.0","sa737829"
"Colin Holderman","","0","0","6.04","0","0","0","1.0","1","1","0","1","1","1.71","5.45","5.08","6.25","0.0","0.0","999.0","sa918172"
"Nicholas Vespi","","0","0","5.87","0","0","0","1.0","1","1","0","1","1","1.77","5.48","5.80","6.26","0.0","0.0","999.0","sa875778"
"Mark Simon","","0","0","6.19","0","0","0","1.0","1","1","0","1","1","1.74","5.97","5.40","6.26","0.0","0.0","999.0","sa3004993"
"Maximo Castillo","","0","0","6.17","0","0","0","1.0","1","1","0","1","0","1.63","5.81","4.23","6.26","0.0","0.0","999.0","sa917181"
"David Hill","Rockies","0","0","6.42","0","0","0","1.0","1","1","0","1","1","1.70","5.86","4.60","6.26","0.0","0.0","999.0","sa658377"
"Ricky Vanasco","","0","0","6.15","0","0","0","1.0","1","1","0","1","1","1.77","6.53","6.08","6.27","0.0","0.0","999.0","sa3004863"
"Travis Perry","Giants","0","0","6.23","0","0","0","1.0","1","1","0","1","1","1.73","5.32","5.07","6.27","0.0","0.0","999.0","sa3007488"
"Ethan Evanko","","0","0","5.99","0","0","0","1.0","1","1","0","1","1","1.67","6.00","4.86","6.27","0.0","0.0","999.0","sa3008037"
"Ryan Tapani","","0","0","6.17","0","0","0","1.0","1","1","0","1","0","1.64","6.17","4.49","6.27","0.0","0.0","999.0","sa3007254"
"Kervin Castro","Giants","0","0","6.26","0","0","0","1.0","1","1","0","1","1","1.78","4.97","5.43","6.27","0.0","0.0","999.0","sa916834"
"Jose Olague","","0","0","6.26","0","0","0","1.0","1","1","0","0","0","1.69","4.18","3.94","6.27","0.0","0.0","999.0","sa3005352"
"Daniel Gonzalez","","0","0","6.14","0","0","0","1.0","1","1","0","1","0","1.60","5.16","3.71","6.28","0.0","0.0","999.0","sa737056"
"Kade McClure","White Sox","0","0","6.11","0","0","0","1.0","1","1","0","1","0","1.62","5.66","4.09","6.28","0.0","0.0","999.0","sa915622"
"Brandon Finnegan","","0","0","6.29","0","0","0","1.0","1","1","0","1","1","1.69","7.36","5.30","6.28","0.0","0.0","999.0","16208"
"Alex Manasa","","0","0","6.24","0","0","0","1.0","1","1","0","1","1","1.72","4.86","4.75","6.28","0.0","0.0","999.0","sa3004213"
"Avery Weems","","0","0","5.98","0","0","0","1.0","1","1","0","1","1","1.80","5.39","5.84","6.28","0.0","0.0","999.0","sa3010256"
"Jorge Martinez","","0","0","6.23","0","0","0","1.0","1","1","0","1","0","1.60","5.37","3.64","6.28","0.0","0.0","999.0","sa3001059"
"Efrain Contreras","","0","0","6.16","0","0","0","1.0","1","1","0","1","1","1.68","6.09","4.99","6.28","0.0","0.0","999.0","sa3005692"
"Angel Araiza","","0","0","6.25","0","0","0","1.0","1","1","0","1","0","1.66","5.36","4.25","6.28","0.0","0.0","999.0","sa542183"
"Kyle Glogoski","","0","0","6.12","0","0","0","1.0","1","1","0","1","1","1.65","6.81","4.92","6.29","0.0","0.0","999.0","sa3007464"
"Manuel Rodriguez","","0","0","6.05","0","0","0","1.0","1","1","0","1","1","1.76","5.07","5.38","6.29","0.0","0.0","999.0","sa833402"
"Juan Mercedes","Mariners","0","0","6.04","0","0","0","1.0","1","1","0","1","0","1.64","5.33","4.41","6.29","0.0","0.0","999.0","sa3002818"
"Cesilio Pimentel","","0","0","6.09","0","0","0","1.0","1","1","0","1","1","1.71","4.75","4.67","6.29","0.0","0.0","999.0","sa603201"
"Jacob Walters","","0","0","6.18","0","0","0","1.0","1","1","0","1","1","1.70","5.64","5.05","6.29","0.0","0.0","999.0","sa915852"
"Samuel Held","","0","0","6.23","0","0","0","1.0","1","1","0","1","1","1.71","5.04","4.68","6.29","0.0","0.0","999.0","sa918665"
"Ernesto Zaragoza","","0","0","6.21","0","0","0","1.0","1","1","0","1","1","1.72","5.40","4.93","6.29","0.0","0.0","999.0","sa549734"
"Glenn Otto","Yankees","0","0","6.13","0","0","0","1.0","1","1","0","1","1","1.75","6.68","5.79","6.29","0.0","0.0","999.0","sa915710"
"Frederis Parra","","0","0","6.20","0","0","0","1.0","1","1","0","0","0","1.65","4.10","3.65","6.30","0.0","0.0","999.0","sa657275"
"Chase Shugart","","0","0","6.30","0","0","0","1.0","1","1","0","1","1","1.70","5.16","4.61","6.30","0.0","0.0","999.0","sa3008548"
"Mitchell Jordan","","0","0","6.11","0","0","0","1.0","1","1","0","1","0","1.54","6.25","3.74","6.30","0.0","0.0","999.0","sa873675"
"Roniel Raudes","","0","0","6.35","0","0","0","1.0","1","1","0","1","1","1.69","5.56","4.63","6.30","0.0","0.0","999.0","sa872825"
"Kevin Malisheski","","0","0","6.11","0","0","0","1.0","1","1","0","1","1","1.71","5.59","5.14","6.30","0.0","0.0","999.0","sa919034"
"Juan Hillman","","0","0","6.14","0","0","0","1.0","1","1","0","1","1","1.70","5.09","4.64","6.30","0.0","0.0","999.0","sa874796"
"Easton McGee","","0","0","6.11","0","0","0","1.0","1","1","0","1","0","1.67","4.67","4.33","6.30","0.0","0.0","999.0","sa917971"
"Zackry Dodson","","0","0","6.16","0","0","0","1.0","1","1","0","1","1","1.73","5.25","5.00","6.30","0.0","0.0","999.0","sa501219"
"Jackson Tetreault","","0","0","6.18","0","0","0","1.0","1","1","0","1","0","1.63","6.36","4.48","6.31","0.0","0.0","999.0","sa3004662"
"David Kubiak","","0","0","6.26","0","0","0","1.0","1","1","0","1","1","1.70","5.38","4.66","6.31","0.0","0.0","999.0","sa599473"
"Randall Bell","","0","0","6.27","0","0","0","1.0","1","1","0","1","0","1.65","5.44","4.14","6.31","0.0","0.0","999.0","sa3004338"
"Abdiel Mendoza","","0","0","6.17","0","0","0","1.0","1","1","0","1","1","1.77","5.40","5.55","6.31","0.0","0.0","999.0","sa916829"
"Robinson Pina","","0","0","6.17","0","0","0","1.0","1","1","0","1","1","1.79","6.92","6.29","6.31","0.0","0.0","999.0","sa3003123"
"Roydrick Merritt","","0","0","6.16","0","0","0","1.0","1","1","0","1","0","1.68","4.89","4.34","6.31","0.0","0.0","999.0","sa392227"
"Brock Hartson","","0","0","6.25","0","0","0","1.0","1","1","0","1","1","1.69","5.88","4.79","6.31","0.0","0.0","999.0","sa857665"
"Ethan Hankins","","0","0","6.22","0","0","0","1.0","1","1","0","1","1","1.77","6.23","5.85","6.32","0.0","0.0","999.0","sa3008589"
"Cody Laweryson","","0","0","6.23","0","0","0","1.0","1","1","0","1","1","1.73","6.04","5.39","6.32","0.0","0.0","999.0","sa3010633"
"Robert Welhaf","","0","0","6.39","0","0","0","1.0","1","1","0","1","0","1.64","5.55","3.88","6.32","0.0","0.0","999.0","sa3006965"
"Deivi Diaz","Yankees","0","0","6.08","0","0","0","1.0","1","1","0","1","1","1.75","6.11","5.54","6.32","0.0","0.0","999.0","sa917803"
"John Rooney","","0","0","6.02","0","0","0","1.0","1","1","0","1","1","1.68","5.75","4.93","6.32","0.0","0.0","999.0","sa3008417"
"Adam Alexy","Rangers","0","0","6.18","0","0","0","1.0","1","1","0","1","1","1.73","7.16","5.99","6.32","0.0","0.0","999.0","sa919115"
"Sergio Pacheco","","0","0","6.23","0","0","0","1.0","1","1","0","1","1","1.75","5.35","5.22","6.33","0.0","0.0","999.0","sa919042"
"Hector Yan","Angels","0","0","6.06","0","0","0","1.0","1","1","0","1","1","1.77","7.06","6.26","6.33","0.0","0.0","999.0","sa917194"
"Yusniel Padron-Artilles","Red Sox","0","0","6.32","0","0","0","1.0","1","1","0","1","1","1.67","6.06","4.73","6.33","0.0","0.0","999.0","sa3008040"
"Luis Gil","Yankees","0","0","6.20","0","0","0","1.0","1","1","0","1","1","1.76","6.97","5.97","6.33","0.0","0.0","999.0","sa877821"
"Gabriel Arias","","0","0","6.30","0","0","0","1.0","1","1","0","1","0","1.67","5.05","4.18","6.34","0.0","0.0","999.0","sa507276"
"Matt Ruppenthal","","0","0","6.21","0","0","0","1.0","1","1","0","1","1","1.79","6.03","5.97","6.34","0.0","0.0","999.0","sa915693"
"Jesus Estrada","","0","0","6.24","0","0","0","1.0","1","1","0","1","0","1.64","4.92","3.93","6.34","0.0","0.0","999.0","sa273164"
"Charles Neuweiler","","0","0","6.33","0","0","0","1.0","1","1","0","1","1","1.80","5.52","5.80","6.34","0.0","0.0","999.0","sa3004345"
"Leudeny Pineda","Athletics","0","0","6.32","0","0","0","1.0","1","1","0","1","1","1.73","5.46","5.11","6.34","0.0","0.0","999.0","sa3007998"
"Lachlan Wells","","0","0","6.13","0","0","0","1.0","1","1","0","1","1","1.67","5.60","4.67","6.34","0.0","0.0","999.0","sa877857"
"Alan Rangel","","0","0","6.30","0","0","0","1.0","1","1","0","1","1","1.72","5.43","4.86","6.34","0.0","0.0","999.0","sa877578"
"Octavio Acosta","","0","0","6.26","0","0","0","1.0","1","1","0","1","1","1.69","5.11","4.55","6.34","0.0","0.0","999.0","sa548115"
"John Busfield","","0","0","6.31","0","0","0","1.0","1","1","0","1","0","1.67","5.24","4.30","6.34","0.0","0.0","999.0","sa872713"
"Garrison Bryant","","0","0","6.11","0","0","0","1.0","1","1","0","1","1","1.69","5.61","4.98","6.35","0.0","0.0","999.0","sa918939"
"Andrew Moore","Tigers","0","0","6.39","0","0","0","1.0","1","1","0","1","0","1.57","5.73","3.27","6.35","0.0","0.0","999.0","17553"
"Evan Piechota","","0","0","6.23","0","0","0","1.0","1","1","0","1","0","1.64","5.30","4.15","6.35","0.0","0.0","999.0","sa922004"
"Luis Frias","Diamondbacks","0","0","6.36","0","0","0","1.0","1","1","0","1","1","1.76","6.52","5.83","6.35","0.0","0.0","999.0","sa917588"
"Reinier Roibal","","0","0","6.31","0","0","0","1.0","1","1","0","1","1","1.71","5.64","4.91","6.35","0.0","0.0","999.0","sa553503"
"Ryan Kellogg","Cubs","0","0","6.15","0","0","0","1.0","1","1","0","1","1","1.73","4.73","4.91","6.35","0.0","0.0","999.0","sa658192"
"Chris Tillman","","0","0","6.35","0","0","0","1.0","1","1","0","1","0","1.69","5.31","4.42","6.35","0.0","0.0","999.0","5279"
"Brendon Little","Cubs","0","0","6.14","0","0","0","1.0","1","1","0","1","1","1.78","5.70","5.90","6.36","0.0","0.0","999.0","sa876266"
"Gabriel Perez","","0","0","6.29","0","0","0","1.0","1","1","0","1","1","1.71","6.00","5.10","6.36","0.0","0.0","999.0","sa505270"
"Andrew Lee","","0","0","6.23","0","0","0","1.0","1","1","0","1","1","1.71","7.43","5.82","6.36","0.0","0.0","999.0","sa856275"
"Carlos Guzman","","0","0","6.46","0","0","0","1.0","1","1","0","1","1","1.76","5.71","5.23","6.36","0.0","0.0","999.0","sa871477"
"Jin-Woo Kim","","0","0","6.34","0","0","0","1.0","1","1","0","1","1","1.73","5.41","4.97","6.36","0.0","0.0","999.0","sa3008618"
"Wyatt Marks","","0","0","6.29","0","0","0","1.0","1","1","0","1","1","1.70","6.35","5.31","6.36","0.0","0.0","999.0","sa3004453"
"Jose Chacin","","0","0","6.17","0","0","0","1.0","1","1","0","1","0","1.66","4.61","4.16","6.36","0.0","0.0","999.0","sa917323"
"Aaron Hernandez","","0","0","6.24","0","0","0","1.0","1","1","0","1","1","1.74","6.65","5.71","6.37","0.0","0.0","999.0","sa3008599"
"Fredrick DeVito","","0","0","6.33","0","0","0","1.0","1","1","0","1","1","1.80","5.38","5.58","6.37","0.0","0.0","999.0","sa1116003"
"Colin Schmid","","0","0","6.06","0","0","0","1.0","1","1","0","1","1","1.76","4.96","5.50","6.37","0.0","0.0","999.0","sa3007712"
"Grant Wolfram","","0","0","6.12","0","0","0","1.0","1","1","0","1","1","1.80","5.86","6.11","6.37","0.0","0.0","999.0","sa3008313"
"Robert Klinchock","","0","0","6.17","0","0","0","1.0","1","1","0","1","1","1.77","5.27","5.42","6.37","0.0","0.0","999.0","sa3010670"
"Charle Rosario","","0","0","6.37","0","0","0","1.0","1","1","0","1","0","1.68","4.76","4.08","6.37","0.0","0.0","999.0","sa455794"
"Jasier Herrera","Giants","0","0","6.34","0","0","0","1.0","1","1","0","1","1","1.80","4.61","5.44","6.38","0.0","0.0","999.0","sa873294"
"Thomas Sutera","","0","0","6.28","0","0","0","1.0","1","1","0","1","1","1.72","6.06","5.09","6.38","0.0","0.0","999.0","sa3008478"
"Alfredo Garcia","Yankees","0","0","6.07","0","0","0","1.0","1","1","0","1","1","1.77","5.88","5.81","6.38","0.0","0.0","999.0","sa3003045"
"William Montgomerie","","0","0","6.15","0","0","0","1.0","1","1","0","1","1","1.75","6.72","6.02","6.38","0.0","0.0","999.0","sa915861"
"Jiovanni Orozco","Yankees","0","0","6.26","0","0","0","1.0","1","1","0","1","1","1.69","5.58","4.64","6.38","0.0","0.0","999.0","sa875701"
"Jacob Lopez","Rays","0","0","6.05","0","0","0","1.0","1","1","0","1","1","1.77","5.34","5.74","6.38","0.0","0.0","999.0","sa3008338"
"Marcos Tineo","Diamondbacks","0","0","6.37","0","0","0","1.0","1","1","0","1","1","1.82","5.07","5.70","6.38","0.0","0.0","999.0","sa3003124"
"Angello Infante","","0","0","6.33","0","0","0","1.0","1","1","0","1","1","1.72","4.83","4.74","6.38","0.0","0.0","999.0","sa916705"
"Ludwin Jimenez","Cardinals","0","0","6.24","0","0","0","1.0","1","1","0","1","1","1.73","5.60","5.24","6.38","0.0","0.0","999.0","sa3005856"
"Rolando Valdez","","0","0","6.34","0","0","0","1.0","1","1","0","0","0","1.63","4.39","3.49","6.39","0.0","0.0","999.0","sa325738"
"Alexander Scherff","Red Sox","0","0","6.37","0","0","0","1.0","1","1","0","1","1","1.74","5.39","5.19","6.39","0.0","0.0","999.0","sa3005397"
"Austin Schulfer","","0","0","6.30","0","0","0","1.0","1","1","0","1","1","1.80","6.31","6.24","6.39","0.0","0.0","999.0","sa3007585"
"Drew Rom","Orioles","0","0","6.01","0","0","0","1.0","1","1","0","1","1","1.73","6.10","5.68","6.40","0.0","0.0","999.0","sa3007848"
"Blayne Enlow","","0","0","6.33","0","0","0","1.0","1","1","0","1","1","1.73","5.40","5.07","6.40","0.0","0.0","999.0","sa3005117"
"Luis Cepeda","Royals","0","0","6.29","0","0","0","1.0","1","1","0","1","1","1.86","5.10","6.27","6.40","0.0","0.0","999.0","sa3006132"
"Marco Duarte","","0","0","6.33","0","0","0","1.0","1","1","0","1","1","1.72","5.04","4.71","6.40","0.0","0.0","999.0","sa393279"
"Oddy Nunez","","0","0","6.24","0","0","0","1.0","1","1","0","1","1","1.80","4.75","5.55","6.40","0.0","0.0","999.0","sa874248"
"Tyler Holton","Diamondbacks","0","0","6.30","0","0","0","1.0","1","1","0","1","1","1.80","5.97","6.01","6.40","0.0","0.0","999.0","sa3011295"
"Sergio Sierra","","0","0","6.39","0","0","0","1.0","1","1","0","1","1","1.75","5.59","5.13","6.40","0.0","0.0","999.0","sa826043"
"A.J. Griffin","","0","0","6.24","0","0","0","1.0","1","1","0","1","0","1.52","6.61","3.45","6.40","0.0","0.0","999.0","11132"
"Jered Weaver","","0","0","6.35","0","0","0","1.0","1","1","0","1","0","1.52","5.44","2.82","6.40","0.0","0.0","999.0","4235"
"Oscar Verdugo","","0","0","6.37","0","0","0","1.0","1","1","0","1","0","1.68","5.07","4.26","6.41","0.0","0.0","999.0","sa504951"
"Victor Diaz","","0","0","6.33","0","0","0","1.0","1","1","0","1","1","1.72","5.47","4.98","6.41","0.0","0.0","999.0","sa659749"
"Jose Barajas","","0","0","6.38","0","0","0","1.0","1","1","0","1","1","1.75","5.32","5.12","6.41","0.0","0.0","999.0","sa455494"
"Stephen Kolek","","0","0","6.27","0","0","0","1.0","1","1","0","1","1","1.73","4.87","4.91","6.41","0.0","0.0","999.0","sa3007990"
"Eric Pardinho","","0","0","6.37","0","0","0","1.0","1","1","0","1","1","1.78","5.96","5.71","6.41","0.0","0.0","999.0","sa968102"
