"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","ADP","-1","InterSD","InterSK","IntraSD","playerid"
"Oscar Mercado","CLE","117","452","409","100","20","2","11","54","43","29","99","16","5",".245",".301",".385",".685",".297","435.3","","3.83","-0.60","1.19","16375"
"Jason Castro","HOU","70","259","226","47","11","0","9","29","29","29","87","0","0",".209",".302",".379",".681",".297","564.3","","3.81","-0.06","0.76","8722"
"Domingo Leyba","ARI","9","33","30","8","1","0","1","4","4","2","6","0","0",".256",".307",".378",".684",".297","999.0","","7.88","0.48","1.89","16404"
"Jacob Stallings","PIT","101","372","333","82","17","0","8","36","39","29","87","0","1",".246",".310",".372",".682",".297","484.6","","2.35","0.43","0.69","13723"
"Stephen Vogt","ARI","47","171","154","35","8","1","6","17","20","14","38","1","1",".228",".291",".405",".696",".297","597.7","","1.61","-0.68","1.29","5000"
"Jarren Duran","BOS","43","182","168","44","9","2","2","23","15","11","44","9","2",".260",".310",".370",".680",".297","563.9","","4.53","1.98","1.73","sa3006786"
"Jason Martin","TEX","8","27","25","6","1","0","1","3","3","2","7","0","0",".233",".291",".396",".687",".296","999.0","","3.71","3.29","1.90","16429"
"Shed Long","SEA","69","279","252","58","12","1","7","31","27","24","75","7","2",".232",".302",".375",".677",".296","597.9","","2.83","0.15","1.10","16542"
"Kyle Higashioka","NYY","54","196","183","41","8","0","10","22","29","10","51","0","0",".222",".266",".435",".701",".296","555.0","","3.13","0.39","1.03","5517"
"Zack Cozart","","11","46","41","10","2","0","1","5","5","4","8","0","0",".233",".304",".374",".678",".296","999.0","","1.85","2.75","1.81","2616"
"Leury Garcia","CHW","65","263","245","64","10","2","5","32","23","12","55","4","2",".262",".303",".378",".680",".296","596.3","","6.42","0.70","1.29","5913"
"Breyvic Valera","TOR","8","34","30","8","1","0","1","4","3","3","5","0","0",".253",".314",".361",".675",".296","999.0","","4.21","4.22","1.89","12758"
"Jake Marisnick","CHC","69","218","199","46","9","1","8","29","24","13","67","5","2",".231",".289",".406",".695",".296","600.7","","2.86","0.19","1.11","11339"
"Jo Adell","LAA","79","322","296","68","15","1","10","37","33","22","105","3","1",".231",".291",".391",".682",".296","432.1","","4.59","0.82","0.73","20220"
"Austin Allen","OAK","12","41","38","9","2","0","1","4","5","3","11","0","0",".234",".289",".396",".685",".295","600.3","","4.58","2.17","1.83","18083"
"Ildemaro Vargas","CHC","30","108","101","26","5","1","2","11","10","5","14","1","0",".261",".302",".379",".681",".295","999.0","","3.25","1.46","1.70","13324"
"Brock Holt","TEX","50","185","163","39","7","1","2","20","16","18","40","2","1",".241",".323",".338",".661",".295","600.7","","3.23","0.78","1.37","9345"
"Jonathan Arauz","BOS","17","61","56","13","2","0","2","7","6","5","13","0","0",".233",".301",".373",".674",".295","599.7","","6.10","1.18","1.75","20275"
"Mark Trumbo","","22","84","78","18","3","0","4","10","10","5","21","0","0",".227",".279",".409",".688",".295","999.0","","6.78","1.26","1.61","6876"
"Tom Murphy","SEA","91","346","319","71","14","1","15","35","42","22","116","1","1",".223",".278",".410",".689",".295","353.0","","1.82","1.25","0.65","13499"
"Matt Kemp","","45","176","160","38","7","0","7","20","23","13","50","1","0",".238",".296",".406",".701",".295","999.0","","4.01","1.99","1.25","5631"
"Luis Garcia","WSN","94","378","358","96","17","2","6","43","37","16","70","5","2",".268",".301",".379",".680",".295","589.2","","4.97","0.34","1.05","20391"
"Freddy Galvis","BAL","123","483","445","107","20","1","16","50","51","30","103","4","2",".239",".292",".395",".687",".295","533.3","","3.00","-0.07","0.37","6609"
"Gregory Polanco","PIT","113","449","402","87","21","2","17","49","57","40","134","8","2",".217",".289",".406",".696",".295","433.2","","5.36","-1.12","0.84","12907"
"Vimael Machin","OAK","38","144","128","31","6","0","2","16","13","14","24","1","0",".241",".321",".341",".662",".295","999.0","","2.84","0.13","1.50","17684"
"Isan Diaz","MIA","83","338","301","66","13","2","9","37","36","33","95","3","2",".221",".303",".369",".671",".295","596.5","","4.84","-0.73","0.64","17922"
"Dustin Fowler","PIT","47","196","183","45","9","1","5","23","21","11","49","4","1",".245",".290",".395",".685",".295","600.2","","6.11","0.33","1.34","17098"
"Blaze Tom","OAK","30","124","111","25","5","1","3","14","13","11","33","2","1",".224",".299",".377",".677",".294","999.0","","3.96","1.82","1.48","sa875069"
"Robinson Chirinos","NYY","22","82","71","15","3","0","3","9","10","8","24","0","0",".209",".303",".364",".667",".294","999.0","","2.47","1.21","1.58","3142"
"Myles Straw","HOU","116","438","394","100","16","3","3","54","35","40","92","27","7",".255",".326",".332",".657",".294","276.7","","4.20","0.06","2.15","17620"
"Elvis Andrus","OAK","134","563","520","131","26","3","11","63","54","35","85","17","6",".251",".301",".376",".677",".294","369.5","","3.63","0.11","1.08","8709"
"Kevin Kiermaier","TBR","118","455","411","94","17","6","11","54","50","36","111","18","5",".230",".299",".383",".681",".294","538.3","","2.79","0.28","1.30","11038"
"Tyrone Taylor","MIL","34","108","100","23","5","0","3","12","12","7","25","1","0",".233",".288",".392",".680",".294","600.6","","4.52","1.58","1.56","13675"
"Jared Oliva","PIT","57","221","201","49","10","2","3","25","19","15","55","11","3",".245",".308",".362",".670",".294","999.0","","9.26","0.43","1.63","19968"
"Kevan Smith","TBR","15","51","46","12","2","0","1","5","5","3","10","0","0",".252",".315",".347",".663",".294","999.0","","2.08","1.79","1.84","12284"
"Patrick Wisdom","CHC","9","26","23","5","1","0","1","3","3","2","6","0","0",".210",".280",".400",".680",".294","999.0","","8.25","1.39","1.87","13602"
"Pat Valaika","BAL","62","209","195","45","9","1","8","23","22","12","54","1","1",".234",".280",".405",".685",".294","564.6","","5.18","1.68","1.14","14885"
"Josh Harrison","WSN","66","251","227","56","10","1","6","27","25","15","44","3","1",".247",".305",".378",".684",".294","594.5","","3.05","-0.20","1.17","8202"
"Jonathan Davis","TOR","17","61","53","12","3","0","1","7","6","5","17","2","0",".222",".303",".367",".670",".294","999.0","","3.41","2.52","1.77","15104"
"Troy Stokes","PIT","8","31","27","6","1","0","1","3","3","3","8","1","0",".208",".301",".366",".666",".294","999.0","","4.97","2.32","1.87","sa828871"
"Luis Gonzalez","CHW","18","43","38","9","2","0","1","5","4","3","12","1","0",".223",".309",".352",".660",".293","999.0","","3.19","1.85","1.82","20332"
"Alex Blandino","CIN","18","71","60","13","3","0","1","8","6","8","21","0","0",".212",".314",".343",".657",".293","999.0","","1.99","1.22","1.69","16271"
"Tim Lopes","MIL","27","97","89","23","6","0","1","10","10","7","20","4","1",".253",".312",".352",".664",".293","999.0","","5.73","2.08","1.78","14137"
"Greg Allen","NYY","13","36","32","8","1","0","1","5","3","2","9","2","1",".236",".302",".369",".670",".293","999.0","","5.29","2.36","1.90","16623"
"Yadier Molina","STL","93","364","337","86","15","0","9","36","42","18","53","2","1",".256",".301",".385",".685",".293","263.8","","1.44","-0.25","0.82","7007"
"Kyle Farmer","CIN","83","266","245","59","13","1","7","26","28","16","61","3","1",".241",".296",".379",".675",".293","595.0","","5.90","-0.24","1.11","14813"
"Joey Bart","SFG","39","150","139","33","6","1","4","17","15","7","44","1","0",".239",".291",".386",".677",".293","522.7","","2.84","0.55","1.40","21524"
"Luis Rengifo","LAA","23","86","76","17","4","0","2","10","7","9","19","2","1",".229",".310",".352",".662",".293","600.9","","3.24","2.79","1.69","19858"
"Bret Boswell","COL","10","43","40","9","2","0","1","5","5","3","13","1","0",".232",".285",".395",".681",".293","999.0","","3.68","3.49","1.83","sa918769"
"Samuel Huff","TEX","21","77","72","17","3","0","3","9","9","4","28","0","0",".231",".279",".401",".680",".293","999.0","","5.94","1.14","1.67","22209"
"Andrew Susac","PIT","11","28","23","4","1","0","0","2","2","5","5","0","0",".183",".338",".282",".620",".293","999.0","","1.36","-0.23","1.87","13132"
"Francisco Mejia","TBR","67","236","218","51","11","1","7","26","25","13","51","1","0",".236",".290",".397",".687",".293","491.9","","1.95","-0.27","1.04","16403"
"Abraham Almonte","ATL","20","54","48","10","2","0","1","7","5","6","14","2","1",".215",".299",".365",".664",".293","999.0","","3.57","1.28","1.80","5486"
"Jose Marmolejos","SEA","59","226","209","48","10","0","8","24","27","15","60","0","0",".231",".286",".393",".678",".292","596.3","","7.29","0.56","1.02","15767"
"Adam Engel","CHW","71","247","227","54","11","2","6","29","25","14","66","5","2",".237",".292",".380",".672",".292","598.0","","2.82","-0.40","1.13","15082"
"Tyler Heineman","STL","17","63","57","13","2","0","2","6","6","4","10","1","0",".234",".294",".377",".671",".292","999.0","","2.33","0.48","1.77","13897"
"John Hicks","TEX","7","24","23","5","1","0","1","2","3","1","8","0","0",".225",".269",".417",".686",".292","999.0","","4.02","1.81","1.90","12547"
"Luis Torrens","SEA","82","303","275","68","15","1","6","28","31","24","61","0","0",".247",".311",".371",".682",".292","550.6","","2.55","1.00","0.98","15905"
"Yasmany Tomas","WSN","6","23","21","5","1","0","1","3","3","1","7","0","0",".227",".273",".408",".680",".292","999.0","","7.26","2.10","1.90","17171"
"Mickey Moniak","PHI","20","73","67","15","3","1","2","8","8","5","19","1","0",".232",".289",".385",".674",".291","999.0","","2.97","3.89","1.71","19956"
"Cedric Mullins II","BAL","82","322","290","69","13","3","7","38","27","21","65","12","3",".239",".296",".373",".669",".291","514.8","","4.68","0.21","1.30","17929"
"Logan Forsythe","","28","107","93","20","4","0","2","11","10","12","29","1","0",".219",".316",".342",".658",".291","999.0","","0.87","0.93","1.55","7185"
