"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","ADP","-1","InterSD","InterSK","IntraSD","playerid"
"Josh Phegley","","12","30","27","6","1","0","1","4","3","2","6","0","0",".213",".273",".370",".642",".278","999.0","","4.25","0.62","1.85","9308"
"Jack Mayfield","LAA","17","51","47","10","3","0","1","6","5","3","13","0","0",".222",".271",".376",".647",".278","999.0","","5.71","2.57","1.77","15402"
"Brandon Drury","NYM","11","44","40","9","2","0","1","4","4","3","11","0","0",".230",".285",".362",".647",".278","999.0","","1.90","1.84","1.83","11615"
"Cesar Puello","BOS","7","26","23","5","1","0","0","3","3","2","7","0","0",".217",".309",".303",".611",".278","999.0","","4.61","1.53","1.88","7216"
"Eric Haase","DET","8","26","24","5","1","0","1","3","3","2","9","0","0",".198",".260",".390",".650",".278","999.0","","5.28","1.17","1.86","14111"
"Braden Bishop","SEA","18","66","59","13","3","0","1","7","6","5","17","1","0",".221",".292",".332",".625",".277","999.0","","1.53","1.44","1.75","17806"
"Roberto Perez","CLE","97","362","315","64","11","1","10","33","36","35","113","0","0",".202",".288",".338",".626",".277","528.4","","2.61","-0.60","0.60","2900"
"Jordy Mercer","WSN","16","59","55","13","3","0","1","6","6","4","11","0","0",".244",".295",".355",".650",".277","999.0","","4.67","1.75","1.78","6547"
"Austin Romine","CHC","54","203","189","45","8","0","5","20","25","10","56","0","0",".238",".277",".362",".640",".277","592.3","","2.24","0.13","1.18","5491"
"Michael Hermosillo","CHC","14","37","32","7","1","0","1","4","4","3","9","3","0",".206",".289",".335",".624",".277","999.0","","3.63","1.90","1.89","16285"
"Max Schrock","CIN","15","52","48","11","2","0","1","6","5","4","10","1","0",".238",".296",".329",".625",".277","999.0","","2.11","2.30","1.82","17750"
"Matt Wieters","","37","127","113","24","4","0","4","13","15","10","31","1","0",".214",".286",".363",".649",".277","999.0","","1.65","1.67","1.42","4298"
"Jose Briceno","COL","6","23","22","5","1","0","1","2","3","1","6","0","0",".221",".266",".376",".642",".277","999.0","","2.39","2.00","1.91","13151"
"Dee Gordon","CIN","45","175","163","43","6","2","1","19","13","7","27","8","2",".261",".299",".329",".628",".276","568.7","","3.77","1.83","1.77","8203"
"Mike Freeman","CIN","22","76","67","15","3","0","1","8","7","6","21","1","0",".229",".299",".334",".633",".276","999.0","","2.56","-0.78","1.71","11241"
"Magneuris Sierra","MIA","33","125","114","28","5","1","1","14","9","7","24","6","2",".247",".294",".335",".629",".276","600.4","","4.82","0.72","1.80","17023"
"Scott Heineman","CIN","25","83","76","17","3","0","2","10","9","6","23","2","1",".224",".283",".345",".628",".276","999.0","","4.66","1.21","1.68","14453"
"Kevin Kramer","PIT","12","46","41","9","2","0","1","5","5","4","14","0","1",".226",".287",".344",".631",".276","999.0","","5.40","2.37","1.82","17689"
"Ronnie Dawson","HOU","12","55","49","10","2","0","2","6","6","4","18","2","0",".204",".275",".358",".633",".276","999.0","","5.27","1.98","1.76","sa873674"
"Lewis Brinson","MIA","70","247","227","50","10","1","7","26","26","15","72","6","1",".219",".277",".359",".636",".276","592.6","","3.66","0.57","1.14","14352"
"Michael Perez","PIT","49","166","149","32","7","0","3","15","19","14","44","0","0",".218",".288",".337",".625",".276","600.9","","3.35","-0.38","1.27","12977"
"Connor Chatham","PHI","9","39","37","9","2","0","0","4","4","2","9","0","0",".248",".291",".340",".631",".275","999.0","","3.23","1.58","1.88","sa873984"
"Eli White","TEX","38","146","132","30","6","1","2","15","12","11","42","3","1",".224",".288",".337",".625",".275","999.0","","3.40","1.60","1.49","19346"
"Juan Lagares","LAA","25","84","76","18","4","0","1","10","8","6","20","1","0",".231",".291",".338",".629",".275","999.0","","1.57","0.59","1.68","5384"
"Lucius Fox","KCR","8","32","29","7","1","0","0","4","3","3","7","1","1",".233",".304",".311",".614",".275","999.0","","5.09","2.46","1.91","sa914200"
"Mike Zunino","TBR","91","323","293","55","12","0","14","33","39","23","121","0","0",".188",".260",".375",".635",".275","561.6","","2.87","-0.38","0.78","13265"
"Meibrys Viloria","KCR","13","44","39","9","2","0","1","4","4","3","12","0","0",".231",".298",".319",".617",".275","999.0","","2.11","1.04","1.84","17109"
"Garrett Stubbs","HOU","21","51","45","10","2","0","1","5","5","4","9","0","0",".226",".291",".332",".623",".274","999.0","","2.60","1.67","1.80","18067"
"Erik Gonzalez","PIT","75","282","263","63","14","2","4","26","26","13","73","4","2",".239",".278",".355",".632",".274","592.6","","3.25","1.08","1.14","13369"
"Hernan Perez","WSN","9","33","31","8","2","0","1","4","4","2","8","0","0",".241",".288",".358",".646",".274","999.0","","3.99","3.46","1.88","5751"
"Austin Hedges","CLE","60","210","188","39","7","0","8","20","24","15","62","2","1",".207",".271",".378",".649",".274","599.8","","2.71","-0.07","1.08","12976"
"Yermin Mercedes","CHW","8","21","20","4","1","0","1","3","3","2","4","0","0",".219",".277",".352",".629",".274","599.7","","3.96","2.76","1.89","17423"
"Rene Rivera","","10","34","31","7","1","0","1","3","4","2","13","0","0",".214",".274",".374",".647",".274","999.0","","2.38","1.60","1.84","3648"
"Adolis Garcia","TEX","14","33","32","7","2","0","1","4","4","1","12","0","0",".214",".253",".386",".639",".273","999.0","","5.86","2.84","1.84","19287"
"Jeffrey Bleday","MIA","12","50","46","10","2","0","1","5","5","4","12","0","0",".216",".275",".353",".629",".273","999.0","","2.34","1.95","1.78","sa3011642"
"Jose Trevino","TEX","88","332","310","74","16","0","7","33","34","14","62","1","0",".238",".272",".362",".634",".273","544.6","","2.09","0.28","0.74","16725"
"Jorge Bonifacio","","13","46","42","9","2","0","1","5","6","3","13","0","0",".221",".283",".336",".619",".273","999.0","","4.43","2.16","1.79","12174"
"DJ Peters","LAD","10","37","33","6","1","0","1","4","5","3","13","0","0",".193",".277",".340",".618",".273","999.0","","4.02","2.73","1.79","sa829712"
"Jake Noll","WSN","13","48","45","11","2","0","1","5","5","2","11","0","0",".236",".277",".349",".626",".272","999.0","","4.01","3.43","1.81","19703"
"Chris Herrmann","BOS","9","32","28","6","1","0","0","3","3","3","9","0","0",".208",".292",".318",".610",".272","999.0","","2.52","1.27","1.85","9284"
"Beau Taylor","CLE","9","33","28","6","1","0","1","3","3","4","10","0","0",".198",".295",".307",".602",".272","999.0","","1.66","1.22","1.84","12384"
"Dylan Cozens","MIL","11","43","38","7","1","0","2","6","5","4","14","1","0",".175",".266",".353",".619",".272","999.0","","6.18","0.62","1.74","15115"
"Monte Harrison","MIA","21","70","64","13","3","0","2","8","6","6","28","5","0",".205",".275",".343",".618",".272","599.0","","4.36","1.32","1.80","17216"
"Taylor Jones","HOU","10","36","32","7","1","0","1","4","4","3","10","0","0",".206",".288",".321",".609",".272","999.0","","3.70","3.41","1.81","19533"
"Jose  Garcia","CIN","55","210","197","46","10","1","3","20","19","8","60","4","2",".234",".276",".346",".623",".272","595.1","","2.84","-0.04","1.33","23378"
"Akil Baddoo","DET","21","86","77","15","3","1","2","10","8","7","24","2","1",".201",".275",".344",".619",".271","999.0","","1.38","0.59","1.61","sa917953"
"Grayson Greiner","DET","47","176","159","33","6","1","5","17","18","13","54","0","0",".208",".272",".347",".620",".271","599.2","","2.54","-1.28","1.18","17062"
"Andrew Romine","MIN","23","63","59","14","3","0","1","8","6","3","14","1","0",".231",".278",".341",".618",".271","999.0","","2.58","0.18","1.75","1159"
"Joshua Jung","TEX","17","72","66","15","3","0","1","7","7","5","15","1","0",".224",".285",".332",".617",".271","999.0","","4.03","2.80","1.73","sa3011468"
"Sergio Alcantara","CHC","14","40","36","8","1","0","0","4","3","4","8","0","1",".233",".311",".278",".589",".270","999.0","","1.71","2.07","1.86","16417"
"Aramis Garcia","OAK","46","171","158","33","7","0","5","17","18","11","62","0","0",".209",".267",".353",".620",".270","600.3","","2.83","0.52","1.18","16925"
"Ali Sanchez","STL","9","28","25","6","1","0","0","3","3","2","6","0","0",".236",".305",".289",".594",".270","999.0","","1.72","1.57","1.90","18551"
"Cheslor Cuthbert","CIN","13","27","25","5","1","0","1","2","2","2","5","0","0",".212",".271",".344",".615",".270","999.0","","2.80","1.29","1.90","10473"
"Richie Martin Jr.","BAL","35","136","124","27","5","1","2","13","10","8","32","4","1",".222",".278",".337",".615",".270","601.0","","2.60","2.00","1.60","17736"
"Tomas Nido","NYM","51","193","180","40","8","0","5","18","22","10","47","0","0",".223",".267",".357",".623",".269","600.6","","2.47","0.12","1.18","13755"
"Mark Mathias","MIL","18","61","54","11","2","0","1","6","6","5","13","1","0",".210",".288",".312",".600",".268","999.0","","3.16","1.66","1.74","18032"
"Chad Wallach","MIA","62","232","207","42","9","0","5","21","21","19","69","0","0",".204",".279",".324",".603",".268","600.3","","2.38","-0.78","0.99","17161"
"Anthony Bemboom","LAA","17","58","51","10","2","0","2","6","6","5","14","0","0",".204",".274",".336",".610",".267","999.0","","1.61","0.30","1.72","13854"
"Marco Hernandez","CHW","8","27","25","6","1","0","0","3","3","1","7","0","0",".234",".273",".337",".610",".267","999.0","","1.43","0.41","1.90","13154"
"Tony Wolters","PIT","56","188","167","38","7","1","1","17","15","16","40","0","0",".227",".304",".304",".608",".267","600.8","","2.60","0.74","1.31","11470"
"Jorge Mateo","SDP","22","77","71","16","3","1","1","9","8","4","23","3","1",".220",".267",".348",".614",".267","600.5","","3.24","3.32","1.73","17273"
"Richard Urena","TOR","7","25","23","6","1","0","0","3","3","1","6","0","0",".240",".288",".312",".600",".267","999.0","","4.15","1.15","1.91","16411"
"Jon Jay","LAA","14","56","50","12","2","0","0","6","4","3","11","0","0",".249",".306",".307",".612",".266","999.0","","3.45","1.93","1.83","5227"
"Marcus Wilson","BOS","10","35","31","6","1","0","1","4","4","3","11","0","0",".203",".280",".317",".598",".266","999.0","","4.71","1.76","1.82","sa828703"
"Jarrod Dyson","KCR","68","238","212","47","7","1","2","28","16","21","42","16","3",".224",".298",".304",".602",".266","999.0","","1.81","-0.70","1.86","4866"
"Khalil Lee","NYM","6","23","20","4","1","0","0","3","2","3","7","1","0",".205",".299",".280",".579",".265","601.0","","5.12","3.26","1.92","sa917996"
"Bubba Starling","KCR","7","23","22","5","1","0","0","2","2","1","7","0","0",".225",".275",".328",".604",".265","999.0","","1.65","1.30","1.91","13356"
"Mallex Smith","NYM","15","54","48","11","2","1","0","6","4","4","13","3","1",".217",".288",".299",".588",".264","599.8","","6.07","2.73","1.84","13608"
"Nick Heath","KCR","15","41","36","8","2","0","0","5","3","4","14","4","1",".215",".291",".290",".581",".263","999.0","","2.94","2.42","1.93","19577"
"Tres Barrera","WSN","7","22","20","4","1","0","0","2","3","2","4","0","0",".213",".275",".318",".593",".262","999.0","","3.42","1.95","1.89","19977"
"Jesus Sanchez","MIA","7","24","22","5","1","0","0","2","3","2","6","0","0",".215",".274",".315",".590",".261","600.6","","3.00","2.45","1.89","19913"
"Jose Siri","HOU","7","27","25","5","1","0","1","3","3","2","9","1","0",".209",".262",".337",".599",".261","999.0","","4.60","2.44","1.89","sa736940"
"Michael Reed","OAK","9","40","36","7","2","0","1","4","4","3","13","1","0",".200",".267",".328",".595",".261","999.0","","1.63","0.25","1.83","sa738683"
"Seby Zavala","CHW","9","27","25","5","1","0","1","3","3","2","11","0","0",".200",".252",".348",".599",".260","999.0","","3.35","2.90","1.85","18887"
"Wilmer Difo","PIT","18","45","41","9","1","0","0","5","3","4","10","1","1",".230",".288",".316",".604",".259","999.0","","2.68","1.06","1.84","14320"
"Drew Butera","TEX","21","63","56","12","2","0","1","6","5","5","17","0","0",".207",".268",".321",".589",".258","999.0","","1.29","1.44","1.72","3411"
"Jason Vosler","SFG","12","43","38","8","1","0","1","4","5","4","12","0","0",".196",".275",".302",".577",".258","999.0","","4.04","3.11","1.77","sa829190"
"Keon Broxton","MIN","8","30","27","5","1","0","1","4","3","3","13","1","0",".190",".266",".316",".582",".258","999.0","","2.91","2.00","1.87","9253"
"Estevan Florial","NYY","7","26","24","5","1","0","1","3","3","2","10","0","0",".199",".272",".304",".576",".257","999.0","","2.81","1.14","1.87","19151"
"Tzu-Wei Lin","MIN","24","69","63","13","3","0","1","7","6","4","18","1","0",".214",".267",".316",".583",".257","999.0","","1.65","-0.44","1.72","14678"
"Sandy Leon","MIA","18","63","56","11","2","0","1","5","5","5","16","0","0",".197",".272",".303",".575",".255","999.0","","2.07","-0.71","1.72","5273"
"Billy Hamilton","CHW","16","51","45","10","2","0","0","6","3","4","12","5","1",".221",".285",".280",".565",".255","600.5","","4.10","3.29","1.96","10199"
"Will Craig","PIT","10","30","28","6","1","0","1","3","4","2","9","0","0",".201",".259",".314",".574",".253","999.0","","3.54","3.42","1.84","19267"
"Guillermo Heredia","ATL","18","56","50","11","2","0","1","7","6","4","14","1","0",".210",".278",".305",".583",".253","999.0","","3.46","1.46","1.74","18721"
"Chris Davis","BAL","37","143","128","23","4","0","5","13","14","13","52","0","0",".180",".265",".320",".585",".252","600.4","","1.30","-0.54","1.26","9272"
"Alfredo Rodriguez","CIN","7","26","24","6","1","0","0","3","2","1","5","1","0",".228",".272",".292",".564",".251","999.0","","3.54","0.79","1.92","sa922180"
"Gregory Deichmann","OAK","5","21","19","4","1","0","0","2","2","2","7","0","0",".195",".263",".298",".561",".250","999.0","","3.99","2.07","1.91","sa3004977"
"J.T. Riddle","MIN","32","107","101","21","5","0","3","15","13","5","22","1","0",".208",".249",".348",".597",".249","999.0","","3.32","0.17","1.43","17642"
"Luke Maile","MIL","11","41","37","8","2","0","1","4","4","3","11","0","0",".201",".264",".291",".555",".248","999.0","","1.96","-0.33","1.81","13355"
"Travis Jankowski","PHI","13","39","35","7","1","0","0","5","3","4","11","2","0",".203",".287",".245",".532",".247","999.0","","2.63","1.35","1.88","13768"
"Kevin Smith","TOR","7","25","23","5","1","0","1","3","3","1","8","0","0",".200",".244",".324",".568",".246","999.0","","5.94","2.50","1.86","sa915864"
"Alexander De Goti","HOU","6","22","20","4","1","0","0","3","3","1","5","0","0",".208",".260",".296",".556",".246","999.0","","6.09","1.52","1.89","sa919320"
"Rodolfo Castro","PIT","12","47","44","9","2","0","1","4","4","2","13","1","0",".203",".256",".293",".549",".244","999.0","","2.67","2.57","1.80","sa917362"
"Andrew Velazquez","NYY","12","35","31","6","1","0","0","4","3","2","11","1","0",".201",".262",".283",".545",".244","999.0","","3.37","2.03","1.85","14196"
"Jeff Mathis","PHI","15","51","47","9","2","0","1","5","5","3","17","0","0",".195",".250",".309",".559",".243","999.0","","1.74","0.61","1.76","3448"
"Joe Hudson","PIT","10","28","25","5","1","0","0","2","2","2","9","0","0",".187",".254",".283",".537",".241","999.0","","1.70","0.18","1.86","14412"
"Ryan Goins","ATL","26","34","30","5","1","0","1","4","4","4","5","0","0",".150",".250",".270",".520",".237","999.0","","0.00","0.00","1.76","9807"
"Joseph Odom","TBR","12","38","35","6","1","0","1","4","4","3","13","0","0",".184",".246",".283",".530",".236","999.0","","0.87","1.09","1.79","15535"
