"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Eddy Alvarez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".301",".326",".627",".276","","72","0.0","0.0","","0.0","0.0","0.0","","999.0","16959"
"Joseph Dunand","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".280",".332",".613",".265","","65","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3005360"
"Dairon Blanco","Royals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".235",".288",".356",".644",".276","","67","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3005386"
"Anthony Recker","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".208",".272",".345",".617",".266","","61","0.0","0.0","","-0.1","0.0","0.0","","999.0","4063"
"Austin Rei","Red Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".204",".277",".319",".596",".261","","54","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa659079"
"Mitch Walding","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".194",".302",".346",".648",".284","","73","0.0","0.0","","0.0","0.0","0.0","","999.0","13006"
"Eric Thames","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".320",".422",".742",".315","","94","0.0","0.0","","0.0","0.0","0.0","","999.0","3711"
"Chris Gimenez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".193",".276",".311",".586",".258","","56","0.0","0.0","","-0.1","0.0","0.0","","999.0","7324"
"Alan Trejo","Rockies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".255",".298",".393",".691",".294","","64","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3002726"
"Jose Pujols","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".292",".407",".699",".296","","81","0.0","0.0","","0.0","0.0","0.0","","999.0","sa739662"
"Erick Mejia","Royals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".241",".299",".345",".644",".279","","69","0.0","0.0","","0.0","0.0","0.0","","999.0","15817"
"Renae Martinez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".217",".278",".329",".608",".264","","58","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004255"
"Christopher Hinojosa","Astros","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".234",".289",".330",".618",".268","","67","0.0","0.0","","0.0","0.0","0.0","","999.0","sa658616"
"Edward Forbes","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".286",".342",".628",".272","","67","0.0","0.0","","0.0","0.0","0.0","","999.0","sa828696"
"Kevin Merrell","Royals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".244",".287",".333",".620",".267","","61","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa915707"
"Patrick Cantwell","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".209",".279",".310",".589",".259","","56","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa602546"
"Ronnier Mustelier","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".241",".299",".348",".648",".280","","70","0.0","0.0","","0.0","0.0","0.0","","999.0","sa601536"
"Cooper Goldby","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".192",".261",".304",".565",".247","","54","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa738676"
"Roberto Pena","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".208",".272",".319",".591",".258","","55","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa548359"
"Skyler Ewing","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".191",".262",".334",".595",".257","","55","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa827317"
"Michael Reed","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".319",".358",".677",".295","","81","0.0","0.0","","0.0","0.0","0.0","","999.0","13228"
"Luis Castro","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".266",".336",".444",".780",".331","","89","0.0","0.0","","0.0","0.0","0.0","","999.0","sa736954"
"Ronald Torreyes","","2","6","6","2","0","0","0","1","1","0","1","0","0","0","",".249",".285",".377",".662",".282","","70","0.0","0.0","","-0.2","0.0","0.0","","999.0","11400"
"Brett Pope","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".292",".321",".613",".268","","62","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3004513"
"Kellin Deglan","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".197",".258",".329",".587",".253","","53","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa548189"
"Yonny Hernandez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".241",".324",".319",".643",".286","","67","0.0","0.0","","0.0","0.0","0.0","","999.0","sa872473"
"Austin Bossart","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".200",".266",".314",".581",".253","","57","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa875667"
"Nicholas Maton","Phillies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".291",".335",".625",".271","","64","0.0","0.0","","0.0","0.0","0.0","","999.0","sa876186"
"Ryan Howard","Giants","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".238",".286",".330",".616",".267","","64","0.0","0.0","","0.0","0.0","0.0","","999.0","sa857225"
"Mitchell Ghelfi","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".216",".273",".317",".590",".257","","55","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa875890"
"Bruce Caldwell","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".213",".286",".327",".613",".267","","62","0.0","0.0","","0.0","0.0","0.0","","999.0","sa658271"
"A.J. Ellis","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".214",".295",".329",".624",".273","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","5677"
"Chris Iannetta","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".198",".296",".340",".636",".276","","68","0.0","0.0","","0.0","0.0","0.0","","999.0","8267"
"Stetson Allie","Rays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".218",".282",".374",".656",".280","","75","0.0","0.0","","0.0","0.0","0.0","","999.0","sa548192"
"Cameron Rupp","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".196",".277",".350",".628",".271","","65","0.0","0.0","","0.0","0.0","0.0","","999.0","11146"
"Bryson Brigman","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".235",".292",".308",".601",".263","","63","0.0","0.0","","0.0","0.0","0.0","","999.0","sa829857"
"Tyler Friis","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".232",".299",".335",".634",".276","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","sa915593"
"Ernie De La Trinidad","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".242",".306",".374",".679",".292","","79","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3003955"
"Kevin Cron","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".231",".305",".448",".753",".315","","94","0.0","0.0","","0.0","0.0","0.0","","999.0","16211"
"Brian Navarreto","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".217",".261",".327",".587",".253","","57","0.0","0.0","","-0.1","0.0","0.0","","999.0","16398"
"Jung Ho Kang","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".277",".411",".688",".290","","77","0.0","0.0","","0.0","0.0","0.0","","999.0","17182"
"Ryan Costello","Twins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".307",".401",".708",".302","","86","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3004071"
"Dustin Peterson","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".248",".298",".393",".691",".294","","79","0.0","0.0","","0.0","0.0","0.0","","999.0","15189"
"Boog Powell","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".313",".338",".650",".286","","74","0.0","0.0","","0.0","0.0","0.0","","999.0","15103"
"William Yahn","Orioles","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".242",".275",".364",".639",".272","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","sa915589"
"Jose Fernandez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".258",".310",".414",".725",".307","","88","0.0","0.0","","0.0","0.0","0.0","","999.0","19254"
"Thomas Milone","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".280",".335",".615",".266","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","sa737640"
"Danny Valencia","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".245",".309",".403",".712",".303","","86","0.0","0.0","","0.0","0.0","0.0","","999.0","6364"
"Josh Altmann","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".211",".285",".350",".635",".275","","67","0.0","0.0","","0.0","0.0","0.0","","999.0","sa875314"
"Ivan Castillo","Padres","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".247",".289",".353",".642",".275","","69","0.0","0.0","","0.0","0.0","0.0","","999.0","sa657222"
"Jabari Blash","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".211",".315",".399",".714",".307","","88","0.0","0.0","","0.0","0.0","0.0","","999.0","11247"
"Mitchell Longo","Indians","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".247",".304",".381",".685",".294","","78","0.0","0.0","","0.0","0.0","0.0","","999.0","sa874178"
"Rodrigo Vigil","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".270",".322",".592",".255","","54","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa547818"
"Andrew Aplin","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".299",".329",".628",".276","","68","0.0","0.0","","0.0","0.0","0.0","","999.0","sa502787"
"Jonathan Morales","Braves","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".226",".281",".320",".601",".262","","56","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa875808"
"James Kerrigan","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".266",".379",".645",".273","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3005235"
"Marcus Littlewood","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".203",".268",".318",".586",".255","","54","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa548261"
"Gosuke Katoh","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".293",".327",".620",".271","","65","0.0","0.0","","0.0","0.0","0.0","","999.0","sa737619"
"Narciso Crook","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".238",".294",".397",".691",".293","","79","0.0","0.0","","0.0","0.0","0.0","","999.0","sa738300"
"Weston Wilson","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".284",".370",".654",".279","","69","0.0","0.0","","0.0","0.0","0.0","","999.0","sa873690"
"Alay Lago","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".251",".288",".353",".641",".275","","67","0.0","0.0","","0.0","0.0","0.0","","999.0","sa914668"
"Hamlet Marte","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".204",".268",".317",".586",".255","","54","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa597218"
"Douglas Peterson","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".214",".271",".359",".631",".269","","65","0.0","0.0","","0.0","0.0","0.0","","999.0","sa549926"
"Joseph Austin","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".234",".284",".359",".643",".275","","67","0.0","0.0","","0.0","0.0","0.0","","999.0","sa454430"
"Lonnie Chisenhall","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".243",".311",".397",".708",".302","","85","0.0","0.0","","0.0","0.0","0.0","","999.0","7571"
"Ryon Healy","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".248",".297",".447",".744",".312","","90","0.0","0.0","","0.0","0.0","0.0","","999.0","15447"
"Benjamin DeLuzio","Diamondbacks","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".238",".300",".347",".647",".280","","68","0.0","0.0","","0.0","0.0","0.0","","999.0","sa737626"
"Chad Spanberger","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".231",".290",".389",".679",".288","","77","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3004242"
"Alex Kowalczyk","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".209",".265",".323",".588",".255","","53","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa918272"
"Chase Pinder","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".218",".294",".332",".626",".273","","68","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3003961"
"Jodd Carter","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".231",".301",".380",".681",".293","","79","0.0","0.0","","0.0","0.0","0.0","","999.0","sa829534"
"Brian Hernandez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".245",".292",".349",".640",".275","","67","0.0","0.0","","0.0","0.0","0.0","","999.0","sa503330"
"Hyun Soo Kim","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".275",".330",".407",".737",".313","","92","0.0","0.0","","0.0","0.0","0.0","","999.0","18718"
"Nathan Mondou","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".292",".307",".599",".264","","65","0.0","0.0","","0.0","0.0","0.0","","999.0","sa873282"
"David Rodriguez","Mets","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".201",".262",".314",".576",".251","","55","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa735825"
"LeDarious Clark","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".206",".282",".353",".635",".274","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","sa875568"
"Pablo Reyes","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".242",".306",".388",".694",".297","","82","0.0","0.0","","0.0","0.0","0.0","","999.0","16357"
"Charles Alexander","Braves","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".290",".359",".649",".280","","68","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3006912"
"Ryan Zimmerman","Nationals","29","121","109","27","5","0","5","15","17","10","26","1","1","0","",".250",".319",".447",".765",".323","","95","-0.1","-0.5","","-0.8","-3.2","0.0","","600.9","4220"
"Jamie Westbrook","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".248",".299",".388",".687",".292","","79","0.0","0.0","","0.0","0.0","0.0","","999.0","sa737824"
"Derek Dietrich","Yankees","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".315",".408",".723",".309","","91","0.0","0.0","","0.0","0.0","0.0","","999.0","10542"
"Tommy Amburgey","Yankees","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".234",".282",".401",".682",".288","","77","0.0","0.0","","0.0","0.0","0.0","","999.0","sa875629"
"Riley Unroe","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".232",".305",".336",".641",".280","","68","0.0","0.0","","0.0","0.0","0.0","","999.0","sa737614"
"Francisco Diaz","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".206",".284",".289",".572",".255","","54","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa505229"
"Roel Santos","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".235",".286",".353",".639",".274","","67","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3010388"
"Harold Ramirez","Marlins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".257",".303",".384",".687",".293","","83","0.0","0.0","","0.0","0.0","0.0","","999.0","14387"
"Chris Shaw","Orioles","3","13","12","3","1","0","1","1","2","1","4","0","0","0","",".235",".292",".430",".722",".303","","87","0.0","0.0","","-0.2","-0.2","0.0","","999.0","17738"
"Michael Perri","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".234",".275",".339",".614",".264","","60","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3007280"
"Nick Franklin","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".226",".298",".351",".650",".282","","72","0.0","0.0","","0.0","0.0","0.0","","999.0","10166"
"Jose Reyes","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".226",".294",".354",".647",".280","","70","0.0","0.0","","0.0","0.0","0.0","","999.0","1736"
"Cullen Large","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".226",".286",".333",".620",".269","","64","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3003959"
"Juan Perez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".282",".352",".634",".272","","65","0.0","0.0","","0.0","0.0","0.0","","999.0","sa599306"
"Zack Granite","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".253",".305",".346",".650",".282","","72","0.0","0.0","","0.0","0.0","0.0","","999.0","15343"
"Christopher Bostick","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".236",".295",".351",".645",".279","","70","0.0","0.0","","0.0","0.0","0.0","","999.0","13718"
"Richard Urena","Blue Jays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".232",".276",".339",".615",".264","","61","0.0","0.0","","-0.1","0.0","0.0","","999.0","16411"
"Daniel Murphy","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".259",".312",".414",".726",".306","","88","0.0","0.0","","0.0","0.0","0.0","","600.1","4316"
"Frank Schwindel","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".255",".293",".419",".712",".300","","83","0.0","0.0","","0.0","0.0","0.0","","999.0","15351"
"Johneshwy Fargas","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".233",".290",".336",".627",".272","","67","0.0","0.0","","0.0","0.0","0.0","","999.0","sa737941"
"Joey Rickard","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".236",".308",".377",".685",".294","","80","0.0","0.0","","0.0","0.0","0.0","","999.0","13277"
"Rosell Herrera","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".236",".302",".354",".655",".284","","73","0.0","0.0","","0.0","0.0","0.0","","999.0","11611"
"Jose Martinez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".286",".314",".600",".263","","59","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa736960"
"Miguel Amaya","Cubs","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".200",".268",".319",".587",".256","","54","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa917354"
"Matt Szczur","Cardinals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".231",".313",".367",".680",".295","","82","0.0","0.0","","0.0","0.0","0.0","","999.0","11255"
"Rayder Ascanio","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".226",".283",".320",".603",".262","","61","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa735861"
"Kennys Vargas","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".297",".400",".697",".297","","81","0.0","0.0","","0.0","0.0","0.0","","999.0","12101"
"Yangervis Solarte","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".238",".294",".389",".682",".290","","77","0.0","0.0","","0.0","0.0","0.0","","999.0","5352"
"Henri Lartigue","White Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".188",".260",".303",".563",".247","","50","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa918028"
"Elliot Soto","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".283",".314",".598",".261","","60","0.0","0.0","","-0.1","0.0","0.0","","999.0","11155"
"Jordan Gore","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".281",".315",".596",".260","","57","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004127"
"Gabriel Gutierrez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".216",".265",".325",".590",".255","","54","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa286640"
"Alonzo Harris","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".293",".389",".683",".290","","77","0.0","0.0","","0.0","0.0","0.0","","999.0","sa455964"
"Nash Knight","Blue Jays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".216",".292",".319",".610",".268","","63","0.0","0.0","","0.0","0.0","0.0","","999.0","sa876814"
"Nick Martini","Cubs","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".240",".333",".345",".678",".299","","83","0.0","0.0","","0.0","0.0","0.0","","999.0","12005"
"Andrew Toles","Dodgers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".237",".285",".377",".662",".281","","74","0.0","0.0","","0.0","0.0","0.0","","999.0","13414"
"Zachary Collier","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".212",".289",".338",".626",".273","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","sa454396"
"Chase Calabuig","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".306",".334",".640",".280","","76","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3006927"
"Johan Mieses","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".283",".401",".684",".289","","79","0.0","0.0","","0.0","0.0","0.0","","999.0","sa747574"
"Jonathan Jones","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".284",".347",".631",".272","","65","0.0","0.0","","0.0","0.0","0.0","","999.0","sa526453"
"Arturo Rodriguez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".214",".259",".327",".586",".252","","52","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa688986"
"Rudy Martin","Royals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".217",".281",".342",".623",".270","","62","0.0","0.0","","0.0","0.0","0.0","","999.0","sa829374"
"Steven Kwan","Indians","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".235",".290",".337",".627",".272","","63","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3008536"
"Arden Pabst","Pirates","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".210",".260",".336",".595",".254","","53","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa858812"
"Jacob Heyward","Giants","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".214",".315",".343",".658",".290","","79","0.0","0.0","","0.0","0.0","0.0","","999.0","sa738955"
"Gavin Collins","Indians","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".212",".261",".323",".584",".252","","50","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa857219"
"Zachary Remillard","White Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".216",".268",".326",".593",".256","","57","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa659077"
"Steve Selsky","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".283",".369",".653",".279","","70","0.0","0.0","","0.0","0.0","0.0","","999.0","12957"
"Tzu-Wei Lin","Twins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".290",".327",".618",".269","","63","0.0","0.0","","0.0","0.0","0.0","","999.0","14678"
"T.J. Rivera","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".252",".296",".368",".664",".284","","73","0.0","0.0","","0.0","0.0","0.0","","999.0","12495"
"Arvicent Perez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".261",".324",".586",".252","","51","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa655950"
"Garrett Kennedy","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".190",".269",".301",".570",".251","","51","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa875722"
"Chris Sharpe","Pirates","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".233",".299",".381",".681",".292","","78","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3004726"
"Dalton Kelly","Rays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".313",".351",".664",".290","","82","0.0","0.0","","0.0","0.0","0.0","","999.0","sa876363"
"Mac Williamson","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".295",".396",".691",".294","","80","0.0","0.0","","0.0","0.0","0.0","","999.0","14158"
"Ryan Boldt","Rays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".291",".358",".649",".279","","75","0.0","0.0","","0.0","0.0","0.0","","999.0","sa738262"
"Peter Maris","Giants","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".287",".335",".622",".270","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","sa877608"
"Michael Wing","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".275",".362",".637",".272","","65","0.0","0.0","","0.0","0.0","0.0","","999.0","sa392185"
"Jakson Reetz","Nationals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".200",".271",".319",".590",".258","","53","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa828796"
"Devyn Bolasky","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".251",".307",".362",".669",".289","","77","0.0","0.0","","0.0","0.0","0.0","","999.0","sa829558"
"Daniel Carbonell","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".237",".295",".383",".678",".290","","77","0.0","0.0","","0.0","0.0","0.0","","999.0","sa829978"
"Jordan Cowan","Mariners","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".292",".298",".590",".261","","62","0.0","0.0","","0.0","0.0","0.0","","999.0","sa738703"
"Blake Allemand","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".287",".339",".626",".271","","64","0.0","0.0","","0.0","0.0","0.0","","999.0","sa857217"
"Dustin Houle","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".202",".272",".299",".571",".251","","51","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa598106"
"Cristhian Adames","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".290",".341",".631",".273","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","6013"
"Jose Lobaton","Cubs","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".200",".268",".330",".598",".259","","56","0.0","0.0","","-0.1","0.0","0.0","","999.0","4243"
"Lucas Williams","Phillies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".218",".284",".350",".634",".274","","65","0.0","0.0","","0.0","0.0","0.0","","999.0","sa874987"
"Matt Batten","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".293",".327",".620",".270","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3004179"
"John Nogowski","Cardinals","4","17","15","4","1","0","0","2","2","2","3","0","0","0","",".254",".337",".389",".726",".314","","95","0.0","0.0","","-0.1","-0.4","0.0","","999.0","16852"
"Austin Listi","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".237",".310",".402",".712",".303","","85","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3004170"
"Brian Schales","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".210",".284",".341",".624",".270","","64","0.0","0.0","","0.0","0.0","0.0","","999.0","sa828808"
"Jantzen Witte","Mariners","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".279",".322",".601",".262","","63","0.0","0.0","","0.0","0.0","0.0","","999.0","sa738324"
"Salvatore Giardina","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".205",".268",".304",".572",".251","","51","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa829575"
"Jeremy Rivera","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".238",".279",".331",".610",".263","","56","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa829240"
"Roberto Ramos","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".226",".300",".406",".706",".299","","83","0.0","0.0","","0.0","0.0","0.0","","999.0","sa829199"
