"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Marcus Semien","Blue Jays","149","682","595","152","30","3","24","98","76","74","119","3","11","4","",".255",".338",".440",".778",".331","","106","1.0","1.5","","6.2","4.2","3.3","","133.4","12533"
"Vladimir Guerrero Jr.","Blue Jays","144","619","548","163","31","3","29","90","95","59","96","6","3","1","",".298",".369",".523",".891",".372","","134","-1.6","-2.6","","25.1","-12.6","3.3","","56.5","19611"
"Eloy Jimenez","White Sox","149","628","574","165","30","2","38","89","106","42","139","5","1","1","",".287",".339",".545",".884",".365","","130","0.2","-2.2","","24.4","-12.9","3.3","","33.8","17484"
"Ketel Marte","Diamondbacks","147","658","586","168","35","6","21","91","79","57","88","7","7","3","",".286",".353",".471",".824",".347","","112","0.2","-1.5","","11.0","1.3","3.3","","79.5","13613"
"Kris Bryant","Cubs","146","651","550","139","30","2","26","92","83","78","159","15","3","2","",".253",".359",".459",".818",".348","","115","1.1","-2.6","","13.8","-1.5","3.2","","129.1","15429"
"Jose Altuve","Astros","150","673","599","166","31","2","22","93","82","58","110","6","11","4","",".277",".345",".449",".794",".337","","114","0.6","-4.9","","12.4","-2.9","3.2","","99.3","5417"
"Anthony Rizzo","Cubs","150","663","554","149","29","2","30","97","94","82","100","21","6","3","",".269",".380",".490",".869",".365","","126","-2.9","3.9","","19.9","-8.6","3.2","","104.7","3473"
"Luis Robert","White Sox","149","610","553","144","26","3","29","79","84","41","165","7","22","9","",".259",".317",".475",".792",".331","","107","0.4","2.3","","6.1","4.8","3.1","","36.8","20043"
"Andrelton Simmons","Twins","136","569","518","146","31","2","10","67","63","39","57","5","9","3","",".283",".337",".407",".744",".319","","97","0.5","7.0","","-1.9","13.8","3.1","","446.8","10847"
"Byron Buxton","Twins","136","531","484","126","29","2","25","73","77","34","135","5","18","5","",".261",".314",".486",".800",".333","","106","2.4","4.5","","6.5","6.8","3.1","","114.1","14161"
"Paul DeJong","Cardinals","149","640","566","141","29","1","28","80","86","56","157","11","6","3","",".248",".325",".450",".775",".327","","104","-0.3","0.9","","2.7","8.3","3.1","","227.6","18015"
"Marcell Ozuna","Braves","148","638","560","157","26","1","34","92","105","69","136","4","5","2","",".280",".360",".511",".871",".363","","122","-0.2","-0.1","","18.4","-7.6","3.1","","47.5","10324"
"Jeff McNeil","Mets","150","665","592","168","36","2","19","89","75","49","89","15","8","3","",".284",".351",".447",".797",".338","","112","-0.7","-2.0","","10.2","-0.7","3.0","","88.5","15362"
"Michael Conforto","Mets","150","648","547","138","27","1","31","90","92","84","157","10","7","3","",".253",".360",".476",".837",".353","","122","0.2","-1.7","","19.1","-9.2","3.0","","73.0","16376"
"Justin Turner","","128","559","485","134","26","1","21","78","78","56","94","12","2","1","",".276",".362",".468",".830",".352","","121","-1.2","-3.3","","14.1","-1.4","3.0","","214.6","5235"
"Max Kepler","Twins","146","654","565","140","32","1","31","96","83","71","114","8","7","3","",".248",".338",".472",".810",".341","","112","0.4","4.2","","10.4","-2.9","3.0","","183.0","12144"
"Matt Olson","Athletics","146","629","541","130","23","1","38","86","98","74","167","9","2","1","",".240",".339",".497",".836",".347","","121","-1.3","5.1","","15.7","-7.4","3.0","","87.8","14344"
"Yoan Moncada","White Sox","147","650","570","143","28","4","24","85","78","68","188","5","7","3","",".251",".333",".440",".773",".328","","105","0.4","0.5","","4.5","2.9","3.0","","87.8","17232"
"Ke'Bryan Hayes","Pirates","136","581","516","145","31","4","18","73","71","52","114","6","9","4","",".280",".350",".461",".811",".342","","111","-0.1","0.9","","8.3","3.2","2.9","","146.3","18577"
"Alex Verdugo","Red Sox","138","588","525","153","36","2","16","78","69","50","96","5","7","3","",".291",".355",".457",".813",".344","","110","0.3","-0.2","","8.1","0.4","2.8","","130.0","17027"
"Aaron Hicks","Yankees","141","611","507","119","22","2","24","82","76","92","136","4","8","3","",".235",".355",".430",".784",".337","","110","1.0","-3.6","","8.7","-1.3","2.8","","278.9","5297"
"Alec Bohm","Phillies","136","561","501","143","27","2","21","73","77","48","100","5","5","2","",".286",".352",".475",".827",".349","","114","-0.3","-1.2","","10.4","0.4","2.8","","999.0","21618"
"Ramon Laureano","Athletics","149","621","548","135","29","2","23","75","75","52","165","13","11","4","",".246",".323",".429",".752",".320","","103","1.3","0.5","","3.4","2.9","2.7","","147.4","17128"
"Brandon Lowe","Rays","133","579","508","126","25","3","26","75","75","56","158","8","6","3","",".248",".328",".460",".788",".332","","111","1.0","0.1","","9.0","-1.2","2.7","","72.3","18882"
"Adalberto Mondesi","Royals","147","639","593","152","30","7","20","83","77","34","173","4","54","16","",".256",".298",".433",".732",".307","","87","4.4","3.3","","-5.8","10.7","2.7","","24.3","13769"
"Kyle Tucker","Astros","150","622","554","142","27","6","29","84","90","54","135","6","20","8","",".256",".326",".482",".808",".336","","113","0.5","1.0","","10.9","-6.0","2.6","","31.1","18345"
"Paul Goldschmidt","Cardinals","150","662","563","148","28","1","28","88","88","86","159","5","4","1","",".263",".364",".464",".827",".351","","119","0.2","1.2","","16.7","-11.3","2.6","","93.9","9218"
