"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","ADP","playerid"
"Austin Romine","Cubs","50","208","192","43","8","0","5","20","20","11","57","1","0",".223",".269",".346",".615",".268","573.0","5491"
"Andrew Velazquez","","3","14","13","3","1","0","0","2","1","1","4","0","0",".215",".276",".333",".609",".267","999.0","14196"
"Billy Hamilton","Indians","29","124","112","25","4","1","1","15","7","10","29","9","2",".225",".290",".310",".600",".267","599.2","10199"
"Anthony Bemboom","Angels","10","38","34","7","1","0","1","4","4","3","10","0","0",".204",".275",".332",".607",".266","999.0","13854"
"Bubba Starling","Royals","5","21","19","4","1","0","0","2","2","1","6","0","0",".217",".269",".340",".609",".266","999.0","13356"
"Monte Harrison","Marlins","10","43","39","8","2","0","1","5","4","3","17","1","0",".204",".270",".334",".603",".266","589.4","17216"
"Gregory Deichmann","Athletics","8","34","31","6","1","0","1","4","3","3","12","1","0",".195",".266",".340",".607",".266","999.0","sa3004977"
"Sandy Leon","","15","60","53","11","2","0","1","5","5","5","16","0","0",".201",".277",".321",".597",".265","999.0","5273"
"Drew Butera","","10","37","33","7","1","0","1","3","3","3","10","0","0",".208",".276",".324",".599",".264","999.0","3411"
"Tomas Nido","Mets","49","201","188","41","8","0","5","19","21","10","50","0","0",".221",".265",".344",".609",".263","999.0","13755"
"Aramis Garcia","Athletics","37","144","133","27","6","0","4","13","15","9","49","0","0",".203",".261",".341",".602",".263","999.0","16925"
"Keon Broxton","Twins","5","21","19","3","1","0","1","3","2","2","9","1","0",".185",".267",".327",".594",".263","999.0","9253"
"Jorge Mateo","Padres","23","103","96","21","5","1","2","12","9","5","32","4","1",".214",".261",".346",".607",".262","599.6","17273"
"Nick Heath","Royals","13","55","49","10","2","0","1","6","4","5","18","3","1",".212",".282",".305",".587",".262","999.0","19577"
"Seth Brown","Athletics","94","399","365","73","17","2","10","38","37","29","130","3","1",".200",".263",".337",".600",".262","597.6","18171"
"Jeff Mathis","Phillies","6","27","25","5","1","0","1","3","3","2","9","0","0",".202",".262",".336",".598",".261","999.0","3448"
"Skye Bolt","Athletics","2","7","6","1","0","0","0","1","1","1","2","0","0",".195",".270",".321",".591",".261","999.0","17723"
"Ronald Torreyes","","6","29","28","7","1","0","0","3","3","1","4","0","0",".237",".272",".327",".599",".261","999.0","11400"
"Jose Siri","Astros","13","56","52","11","2","0","2","6","6","3","21","1","0",".204",".256",".347",".603",".261","999.0","sa736940"
"Jarrod Dyson","","40","175","156","33","5","1","1","20","10","16","35","10","2",".211",".290",".288",".577",".261","999.0","4866"
"Corey Ray","Brewers","3","15","13","3","1","0","0","2","1","1","6","0","0",".191",".262",".333",".596",".260","999.0","sa738510"
"Luke Maile","Brewers","16","67","61","12","3","0","1","6","6","5","18","0","0",".203",".269",".318",".586",".259","999.0","13355"
"Caleb Joseph","","13","51","47","10","2","0","1","5","5","3","15","0","0",".212",".264",".325",".589",".259","999.0","7087"
"Albert Pujols","Angels","84","365","346","73","13","0","12","34","41","15","56","1","0",".210",".243",".351",".594",".255","585.8","1177"
"Michael Reed","Athletics","3","14","13","2","1","0","0","1","1","1","5","0","0",".197",".258",".323",".581",".253","999.0","sa738683"
