"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","ADP","playerid"
"Jeffrey Bleday","","8","36","33","7","2","0","1","4","4","3","9","0","0",".228",".291",".376",".667",".289","999.0","sa3011642"
"Mauricio Dubon","Giants","105","473","438","109","21","2","9","53","47","27","90","10","3",".249",".296",".371",".667",".289","276.5","16530"
"Kevan Smith","","13","51","46","11","2","0","1","5","5","4","10","0","0",".243",".305",".349",".655",".289","999.0","12284"
"Franklin Barreto","Angels","37","162","147","32","6","1","6","19","18","11","54","3","1",".219",".283",".385",".668",".289","599.4","15519"
"Greg Garcia","","16","69","60","14","2","0","1","7","5","8","16","0","0",".227",".324",".315",".639",".289","999.0","10951"
"Jorge Ona","Padres","3","15","13","3","1","0","0","2","2","1","4","0","0",".228",".295",".368",".663",".289","999.0","20040"
"Edward Olivares","Royals","75","316","293","71","15","2","7","35","32","17","68","7","2",".241",".289",".378",".668",".288","517.8","19698"
"Mallex Smith","","2","7","7","2","0","0","0","1","0","1","2","0","0",".242",".312",".338",".650",".288","599.8","13608"
"Orlando Arcia","Brewers","131","594","546","133","24","2","15","63","64","40","114","8","3",".243",".295",".374",".669",".288","505.5","13185"
"Tres Barrera","Nationals","2","6","6","1","0","0","0","1","1","0","1","0","0",".234",".295",".366",".661",".288","999.0","19977"
"Chris Herrmann","","5","19","17","3","1","0","0","2","2","2","6","0","0",".210",".301",".352",".652",".288","999.0","9284"
"Travis Blankenhorn","Twins","5","21","19","4","1","0","1","2","2","1","6","0","0",".224",".283",".385",".668",".288","999.0","18395"
"Jake Fraley","Mariners","29","123","112","25","6","1","3","14","12","9","31","3","1",".225",".288",".379",".667",".288","999.0","19260"
"Anderson Tejeda","Rangers","18","75","69","15","3","0","2","9","8","5","26","1","0",".222",".280",".388",".668",".288","573.6","19909"
"Akil Baddoo","Tigers","5","21","18","4","1","0","1","2","2","2","6","0","0",".209",".291",".367",".658",".287","999.0","sa917953"
"Lucius Fox","Royals","8","34","31","7","1","0","0","4","3","3","8","1","0",".235",".309",".340",".648",".287","999.0","sa914200"
"Mike Zunino","Rays","92","363","325","63","12","0","17","39","48","29","132","0","0",".195",".274",".389",".663",".287","534.2","13265"
"Shed Long","Mariners","65","274","247","55","11","1","7","30","25","23","74","5","2",".224",".295",".361",".656",".287","592.8","16542"
"Luis Gonzalez","White Sox","6","28","25","6","1","0","1","3","3","2","6","0","0",".229",".295",".362",".657",".287","999.0","20332"
